"object_id","volume","region_name","lga"
1,24,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2,373,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
3,1100,"EASTERN REGION","LATROBE"
4,801,"SOUTH WESTERN REGION","SOUTHERN GRAMPIANS"
5,12000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
6,16000,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
7,5700,"EASTERN REGION","WELLINGTON"
8,5800,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
9,17000,"METROPOLITAN SOUTH EAST REGION","KNOX"
10,12000,"METROPOLITAN NORTH WEST REGION","HUME"
11,236,"SOUTH WESTERN REGION","SOUTHERN GRAMPIANS"
12,1400,"SOUTH WESTERN REGION","SOUTHERN GRAMPIANS"
13,13000,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
14,14000,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
15,2200,"EASTERN REGION","EAST GIPPSLAND"
16,6400,"METROPOLITAN SOUTH EAST REGION","BAYSIDE"
17,448,"NORTH EASTERN REGION","BENALLA"
18,1300,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
19,240,"NORTH EASTERN REGION","MOIRA"
20,20000,"METROPOLITAN SOUTH EAST REGION","KNOX"
21,13000,"METROPOLITAN NORTH WEST REGION","NILLUMBIK"
22,8000,"METROPOLITAN SOUTH EAST REGION","CASEY"
23,1600,"NORTHERN REGION","LODDON"
24,4400,"METROPOLITAN SOUTH EAST REGION","MAROONDAH"
25,21000,"METROPOLITAN SOUTH EAST REGION","KINGSTON"
26,5500,"METROPOLITAN SOUTH EAST REGION","MAROONDAH"
27,8100,"METROPOLITAN SOUTH EAST REGION","CASEY"
28,458,"SOUTH WESTERN REGION","GLENELG"
29,4000,"METROPOLITAN SOUTH EAST REGION","CASEY"
30,20,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
31,12000,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
32,8500,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
33,485,"SOUTH WESTERN REGION","GLENELG"
34,3900,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
35,15000,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
36,21000,"METROPOLITAN NORTH WEST REGION","DAREBIN"
37,939,"SOUTH WESTERN REGION","CORANGAMITE"
38,4000,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
39,3700,"SOUTH WESTERN REGION","SURF COAST"
40,16000,"METROPOLITAN SOUTH EAST REGION","CASEY"
41,1400,"NORTH EASTERN REGION","TOWONG"
42,3900,"EASTERN REGION","LATROBE"
43,383,"WESTERN REGION","WEST WIMMERA"
44,1400,"NORTHERN REGION","BENDIGO"
45,506,"SOUTH WESTERN REGION","GEELONG"
46,886,"SOUTH WESTERN REGION","CORANGAMITE"
47,93,"SOUTH WESTERN REGION","GLENELG"
48,12000,"EASTERN REGION","LATROBE"
49,10000,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
50,15,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
51,5800,"EASTERN REGION","BASS COAST"
52,4500,"SOUTH WESTERN REGION","GEELONG"
53,66,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
54,2100,"NORTH EASTERN REGION","(MOUNT STIRLING)"
55,13000,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
56,16000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
57,14000,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
58,4400,"SOUTH WESTERN REGION","SURF COAST"
59,5000,"SOUTH WESTERN REGION","MOYNE"
60,2000,"SOUTH WESTERN REGION","GLENELG"
61,138,"NORTHERN REGION","LODDON"
62,577,"NORTH EASTERN REGION","MOIRA"
63,1900,"METROPOLITAN NORTH WEST REGION","NILLUMBIK"
64,1400,"SOUTH WESTERN REGION","MOYNE"
65,7400,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
66,1000,"SOUTH WESTERN REGION","SOUTHERN GRAMPIANS"
